subID,trial,sim_choice,sim_attack,k
6,114,7,0,1
6,35,7,1,1
6,55,5,0,1
6,110,7,0,1
6,60,8,0,1
6,30,7,1,1
6,32,5,0,1
6,6,7,1,1
6,117,7,0,1
6,45,4,0,1
6,67,6,1,1
6,73,6,0,1
6,115,5,1,1
6,112,6,0,1
6,64,8,1,1
6,90,7,1,1
6,4,6,0,1
6,13,5,1,1
6,63,6,0,1
6,86,7,0,1
6,54,5,0,1
6,104,7,1,1
6,91,6,0,1
6,62,5,0,1
6,58,3,0,1
6,52,7,1,1
6,12,8,1,1
6,28,5,0,1
6,75,5,0,1
6,111,5,0,1
6,23,6,0,1
6,92,8,0,1
6,41,7,0,1
6,43,7,0,1
6,69,7,0,1
6,36,7,0,1
6,11,6,0,1
6,68,5,0,1
6,98,5,0,1
6,82,7,0,1
6,85,6,0,1
6,118,5,0,1
6,119,6,0,1
6,84,6,1,1
6,39,4,0,1
6,77,7,1,1
6,7,9,1,1
6,25,8,1,1
6,95,6,0,1
6,108,8,1,1
6,71,5,0,1
6,66,7,1,1
6,76,6,0,1
6,103,7,0,1
6,93,5,0,1
6,34,8,1,1
6,50,5,0,1
6,59,6,0,1
6,2,5,0,1
6,27,7,0,1
6,18,8,0,1
6,10,7,0,1
6,26,7,0,1
6,42,7,1,1
6,87,5,1,1
6,116,7,0,1
6,100,5,0,1
6,79,6,0,1
6,16,8,1,1
6,81,6,0,1
6,20,8,1,1
6,19,3,0,1
6,49,7,1,1
6,44,8,1,1
6,9,7,0,1
6,31,6,1,1
6,74,6,0,1
6,106,9,0,1
6,109,7,1,1
6,61,5,0,1
6,94,8,1,1
6,29,7,0,1
6,107,5,1,1
6,46,4,0,1
6,57,7,0,1
6,102,7,0,1
6,70,4,0,1
6,21,6,0,1
6,38,6,0,1
6,88,7,0,1
6,120,6,0,1
6,101,7,0,1
6,78,5,0,1
6,105,6,0,1
6,72,6,0,1
6,24,6,1,1
6,8,8,0,1
6,17,6,1,1
6,37,8,1,1
6,1,9,0,1
6,53,7,1,1
6,83,7,0,1
6,47,6,0,1
6,22,5,0,1
6,99,7,0,1
6,89,9,1,1
6,14,8,1,1
6,3,7,0,1
6,80,5,0,1
6,96,7,0,1
6,51,7,1,1
6,33,6,1,1
6,40,3,0,1
6,48,5,1,1
6,113,6,1,1
6,65,7,0,1
6,15,7,0,1
6,97,7,0,1
10,5,5,0,1
10,56,3,0,1
10,35,5,1,1
10,55,6,1,1
10,114,8,0,1
10,110,6,0,1
10,60,8,0,1
10,30,5,0,1
10,32,5,0,1
10,6,3,0,1
10,67,8,0,1
10,45,5,1,1
10,117,4,0,1
10,73,8,1,1
10,115,9,0,1
10,112,6,0,1
10,64,5,0,1
10,90,8,0,1
10,4,3,0,1
10,13,7,0,1
10,54,8,0,1
10,63,6,1,1
10,86,5,0,1
10,104,6,0,1
10,91,5,1,1
10,62,6,0,1
10,58,5,0,1
10,52,7,0,1
10,12,9,1,1
10,28,6,0,1
10,75,6,1,1
10,23,5,0,1
10,111,6,1,1
10,92,8,0,1
10,41,5,0,1
10,43,8,1,1
10,11,7,1,1
10,69,8,0,1
10,36,6,0,1
