,attack,attackProb,attackRange,choice,currProb,predatorType,reward,round,rt,totMoney,trial,subID
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,41,1.7872004508972168,730,41,75
0,TRUE,4.800000190734863,7,7,0.768000066,1,-10,42,1.7535003423690796,720,42,75
0,FALSE,2.5999999046325684,7,9,0.6499999761581421,0,81,43,2.834899902,801,43,75
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,44,1.3024005889892578,791,44,75
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,45,1.834600567817688,840,45,75
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,46,1.8203004598617556,830,46,75
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,47,2.0370001792907715,866,47,75
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,48,2.602900743484497,891,48,75
0,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,49,2.235801219940185,916,49,75
0,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,5,2.9866983890533447,55,5,75
0,TRUE,2.5999999046325684,7,6,0.3184999823570251,0,-10,50,1.569400191307068,906,50,75
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,51,1.718600511550903,896,51,75
0,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,52,1.7515010833740234,921,52,75
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,53,1.6372007131576538,957,53,75
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,54,2.120001077651977,993,54,75
0,TRUE,2.5999999046325684,7,5,0.2339999973773956,0,-10,55,2.5218002796173096,983,55,75
0,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,56,1.4703004360198977,973,56,75
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,57,1.772500753,1009,57,75
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,58,1.936700701713562,999,58,75
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,59,1.4847005605697632,1024,59,75
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,6,2.486700296401977,91,6,75
0,TRUE,4.800000190734863,7,7,0.768000066,1,-10,60,1.788201093673706,1014,60,75
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,61,1.8867008686065676,1050,61,75
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,62,2.6531994342803955,1040,62,75
0,TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,63,1.7347004413604736,1030,63,75
0,TRUE,4.800000190734863,7,9,1.2000000476837158,1,-10,64,2.2855007648468018,1020,64,75
0,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,65,1.8186008930206297,1045,65,75
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,66,1.4690004587173462,1081,66,75
0,FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,67,2.203601598739624,1145,67,75
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,68,1.7525006532669067,1181,68,75
0,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,69,1.553400635719299,1206,69,75
0,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,7,2.386300563812256,116,7,75
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,70,1.8022007942199707,1255,70,75
0,TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,71,2.0198006629943848,1245,71,75
0,TRUE,2.5999999046325684,7,6,0.3184999823570251,0,-10,72,1.5695006847381592,1235,72,75
